Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Wooden Book Shelf,81045,HEALTH,3/13/2014,$23.00 ,$0.53 ,0.23,$5.29 ,$5.29 ,Successful,3/17/2014,,78063,,,3608767131,"$3,000 ",$0.00 ,$17.71 ,General Fund,0
Wooden Book Shelf,81046,HEALTH,3/13/2014,$16.88 ,$0.39 ,0.23,$3.88 ,$3.88 ,Successful,3/31/2014,,78062,,,3609944159,"$3,000 ",$0.00 ,$12.99 ,General Fund,0
Canon Fax Machine,81047,HEALTH,3/13/2014,$32.01 ,$0.74 ,0.23,$7.36 ,$7.36 ,Successful,3/13/2014,,78068,,,3608473826,"$3,000 ",$0.00 ,$24.64 ,General Fund,0
Sand Table,81057,METRO ACTION,3/12/2014,$21.00 ,$0.48 ,0.23,$4.83 ,$4.83 ,Successful,3/13/2014,,MAC-73723,,,3608479276,"$3,000 ",$0.00 ,$16.17 ,Enterprise,0
2 AV Carts,81058,SCHOOL BOARD WAREHOUSE,3/12/2014,$26.00 ,$0.60 ,0.23,$5.98 ,$5.98 ,Successful,3/12/2014,,SBS-6167B,,,3608377101,"$3,000 ",$0.00 ,$20.02 ,Enterprise,0
Booth,81059,NASHVILLE CONVENTION CTR,3/12/2014,$31.00 ,$0.71 ,0.23,$7.13 ,$7.13 ,Successful,3/17/2014,,NCC-75738,,,3608766304,"$3,000 ",$0.00 ,$23.87 ,Enterprise,0
7 Wall Cabinets,81060,HEALTH,3/13/2014,$320.00 ,$7.36 ,0.23,$73.60 ,$73.60 ,Successful,3/13/2014,,"78072, 78073, 78074, 78075, 78076, 78077, 78078",,,3608466336,"$3,000 ",$0.00 ,$246.40 ,General Fund,0
Buffet Table w/Warmers,81061,BRIDGESTONE ARENA,3/13/2014,$100.00 ,$2.30 ,0.23,$23.00 ,$23.00 ,Successful,4/3/2014,,BA-78212,,,3610296500,"$3,000 ",$0.00 ,$77.00 ,Enterprise,0
Buffet Table w/Warmers,81062,BRIDGESTONE ARENA,3/13/2014,$57.00 ,$1.31 ,0.23,$13.11 ,$13.11 ,Successful,4/3/2014,,BA-78211,,,3610296673,"$3,000 ",$0.00 ,$43.89 ,Enterprise,0
Buffet Table w/Warmers,81063,BRIDGESTONE ARENA,3/13/2014,$34.00 ,$0.78 ,0.23,$7.82 ,$7.82 ,Successful,3/17/2014,,BA-78210,,,3608766330,"$3,000 ",$0.00 ,$26.18 ,Enterprise,0
Epson Stylus Pro 10000,81064,PARKS,3/13/2014,$107.56 ,$2.47 ,0.23,$24.73 ,$24.73 ,Successful,4/1/2014,,78225,,,3610085157,"$3,000 ",$0.00 ,$82.82 ,General Fund,0
2003 Ford E-350,81082,SCHOOL BOARD,3/13/2014,"$2,225.00 ",$51.18 ,0.23,$511.75 ,$511.75 ,Successful,3/17/2014,228605,,M-102,,3608724208,"$3,000 ",$0.00 ,"$1,713.25 ",Enterprise,0
2003 Ford E-350,81084,SCHOOL BOARD,3/13/2014,"$3,950.00 ",$0.00 ,0.23,$908.50 ,$908.50 ,Successful,3/13/2014,228608,,M-704,,Cashiers Check,"$3,000 ",$0.00 ,"$3,041.50 ",Enterprise,0
"Dell 19"" Flatscreen Monitor",81091,ECD COMMUNICATIONS,3/17/2014,$21.00 ,$0.48 ,0.23,$4.83 ,$4.83 ,Successful,3/19/2014,,ECD-76083,,,3608953926,"$3,000 ",$0.00 ,$16.17 ,Enterprise,0
"Dell 19"" Flatscreen Monitor",81093,ECD COMMUNICATIONS,3/17/2014,$23.00 ,$0.53 ,0.23,$5.29 ,$5.29 ,Successful,3/31/2014,,ECD-76080,,,3610024687,"$3,000 ",$0.00 ,$17.71 ,Enterprise,0
"Dell 19"" Flatscreen Monitor",81094,ECD COMMUNICATIONS,3/17/2014,$27.00 ,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,3/18/2014,,ECD-76086,,,3608811193,"$3,000 ",$0.00 ,$20.79 ,Enterprise,0
"Dell 17"" Flatscreen Monitor",81095,ECD COMMUNICATIONS,3/17/2014,$12.69 ,$0.29 ,0.23,$2.91 ,$2.91 ,Successful,3/18/2014,,ECD-76090,,,3608811196,"$3,000 ",$0.00 ,$9.77 ,Enterprise,0
"Dell 19"" Flatscreen Monitor",81096,ECD COMMUNICATIONS,3/17/2014,$29.00 ,$0.67 ,0.23,$6.67 ,$6.67 ,Successful,3/31/2014,,ECD-76091,,,3610024706,"$3,000 ",$0.00 ,$22.33 ,Enterprise,0
Dell Optiplex GX620,81097,ECD COMMUNICATIONS,3/17/2014,$11.00 ,$0.25 ,0.23,$2.53 ,$2.53 ,Successful,3/18/2014,,ECD-76077,,,3608811198,"$3,000 ",$0.00 ,$8.47 ,Enterprise,0
Dell Poweredge 2850 Server,81098,ECD COMMUNICATIONS,3/17/2014,$4.50 ,$0.10 ,0.23,$1.03 ,$1.03 ,Successful,3/20/2014,,ECD-76076,,,3609070488,"$3,000 ",$0.00 ,$3.46 ,Enterprise,0
PC Accessories,81099,ECD COMMUNICATIONS,3/17/2014,$70.88 ,$0.00 ,0.23,$16.30 ,$16.30 ,Successful,4/3/2014,,ECD-76094,,,Cashiers Check,"$3,000 ",$0.00 ,$54.57 ,Enterprise,0
Buffet Table w/ Warmers,81101,BRIDGESTONE ARENA,3/17/2014,$14.00 ,$0.32 ,0.23,$3.22 ,$3.22 ,Successful,3/20/2014,,BA-78213,,,3609083896,"$3,000 ",$0.00 ,$10.78 ,Enterprise,0
Buffet Table,81102,BRIDGESTONE ARENA,3/17/2014,$50.00 ,$1.15 ,0.23,$11.50 ,$11.50 ,Successful,4/10/2014,,BA-78198,,,3611028977,"$3,000 ",$0.00 ,$38.50 ,Enterprise,0
Buffet Table,81103,BRIDGESTONE ARENA,3/17/2014,$62.00 ,$1.43 ,0.23,$14.26 ,$14.26 ,Successful,4/10/2014,,BA-78193,,,3611030041,"$3,000 ",$0.00 ,$47.74 ,Enterprise,0
Round Table,81104,SCHOOL BOARD WAREHOUSE,3/18/2014,$12.01 ,$0.28 ,0.23,$2.76 ,$2.76 ,Successful,3/19/2014,,SBS-6297E,,,3608975247,"$3,000 ",$0.00 ,$9.24 ,Enterprise,0
Round Table,81106,SCHOOL BOARD WAREHOUSE,3/18/2014,$12.00 ,$0.28 ,0.23,$2.76 ,$2.76 ,Successful,3/19/2014,,SBS-6297F,,,3608975265,"$3,000 ",$0.00 ,$9.24 ,Enterprise,0
Round Table,81107,SCHOOL BOARD WAREHOUSE,3/18/2014,$12.02 ,$0.28 ,0.23,$2.76 ,$2.76 ,Successful,3/19/2014,,SBS-6297G,,,3608975305,"$3,000 ",$0.00 ,$9.25 ,Enterprise,0
Round Table,81109,SCHOOL BOARD WAREHOUSE,3/18/2014,$13.00 ,$0.30 ,0.23,$2.99 ,$2.99 ,Successful,3/19/2014,,SBS-6297H,,,3608975320,"$3,000 ",$0.00 ,$10.01 ,Enterprise,0
Round Table,81110,SCHOOL BOARD WAREHOUSE,3/18/2014,$7.01 ,$0.00 ,0.23,$1.61 ,$1.61 ,Successful,4/3/2014,,SBS-6297I,,,Cashiers Check,"$3,000 ",$0.00 ,$5.39 ,Enterprise,0
Werner Extension Ladder,81117,HEALTH,3/18/2014,$105.01 ,$0.00 ,0.23,$24.15 ,$24.15 ,Successful,3/24/2014,,78481,,,Money Order,"$3,000 ",$0.00 ,$80.85 ,General Fund,0
Haworth Office Chair,81118,JIS,3/18/2014,$27.76 ,$0.64 ,0.23,$6.38 ,$6.38 ,Successful,3/24/2014,,78138,,,3609326881,"$3,000 ",$0.00 ,$21.37 ,General Fund,0
Nike Air Torque Shark Cleats,81119,SCHOOL BOARD WAREHOUSE,3/18/2014,$10.00 ,$0.23 ,0.23,$2.30 ,$2.30 ,Successful,3/18/2014,,SBS-6301A,,,3608866008,"$3,000 ",$0.00 ,$7.70 ,Enterprise,0
Nike Zoom Flyposite TD Cleats,81120,SCHOOL BOARD WAREHOUSE,3/18/2014,$25.00 ,$0.58 ,0.23,$5.75 ,$5.75 ,Successful,3/24/2014,,SBS-6301B,,,3609346605,"$3,000 ",$0.00 ,$19.25 ,Enterprise,0
Nike Air Zoom Alpha Talon Cleats,81121,SCHOOL BOARD WAREHOUSE,3/18/2014,$10.01 ,$0.23 ,0.23,$2.30 ,$2.30 ,Successful,3/19/2014,,SBS-6301C,,,3608932558,"$3,000 ",$0.00 ,$7.70 ,Enterprise,0
2 Peavey Amps,81122,SCHOOL BOARD WAREHOUSE,3/18/2014,$155.00 ,$3.56 ,0.23,$35.65 ,$35.65 ,Successful,3/20/2014,,SBS-6302A,,,3609085800,"$3,000 ",$0.00 ,$119.35 ,Enterprise,0
Koss Headphones,81123,SCHOOL BOARD WAREHOUSE,3/18/2014,$25.69 ,$0.00 ,0.23,$5.90 ,$5.90 ,Successful,3/24/2014,,SBS-6302D,,,Money Order,"$3,000 ",$0.00 ,$19.78 ,Enterprise,0
Suzuki Keyboard w/Stand,81124,SCHOOL BOARD WAREHOUSE,3/18/2014,$47.00 ,$0.00 ,0.23,$10.81 ,$10.81 ,Successful,3/31/2014,,SBS-6302B,,,Money Order,"$3,000 ",$0.00 ,$36.19 ,Enterprise,0
Suzuki Keyboard w/Stand,81125,SCHOOL BOARD WAREHOUSE,3/18/2014,$41.00 ,$0.00 ,0.23,$9.43 ,$9.43 ,Successful,3/31/2014,,SBS-6302C,,,Money Order,"$3,000 ",$0.00 ,$31.57 ,Enterprise,0
Yamaha Keyboard,81126,SCHOOL BOARD WAREHOUSE,3/18/2014,$27.00 ,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,3/20/2014,,SBS-6302E,,,3609085842,"$3,000 ",$0.00 ,$20.79 ,Enterprise,0
Yamaha Keyboard,81127,SCHOOL BOARD WAREHOUSE,3/18/2014,$32.00 ,$0.00 ,0.23,$7.36 ,$7.36 ,Successful,3/24/2014,,SBS-6302F,,,Money Order,"$3,000 ",$0.00 ,$24.64 ,Enterprise,0
Yamaha Keyboard,81128,SCHOOL BOARD WAREHOUSE,3/18/2014,$14.00 ,$0.32 ,0.23,$3.22 ,$3.22 ,Successful,3/19/2014,,SBS-6302G,,,3608958261,"$3,000 ",$0.00 ,$10.78 ,Enterprise,0
Yamaha Keyboard,81129,SCHOOL BOARD WAREHOUSE,3/18/2014,$42.36 ,$0.97 ,0.23,$9.74 ,$9.74 ,Successful,3/20/2014,,SBS-6302H,,,3609085909,"$3,000 ",$0.00 ,$32.61 ,Enterprise,0
Yamaha Keyboard,81130,SCHOOL BOARD WAREHOUSE,3/18/2014,$42.00 ,$0.97 ,0.23,$9.66 ,$9.66 ,Successful,3/24/2014,,SBS-6302I,,,3609328296,"$3,000 ",$0.00 ,$32.34 ,Enterprise,0
Yamaha Keyboard,81131,SCHOOL BOARD WAREHOUSE,3/18/2014,$73.00 ,$1.68 ,0.23,$16.79 ,$16.79 ,Successful,3/27/2014,,SBS-6302J,,,3609627039,"$3,000 ",$0.00 ,$56.21 ,Enterprise,0
Poster Board,81132,SCHOOL BOARD WAREHOUSE,3/18/2014,$29.00 ,$0.67 ,0.23,$6.67 ,$6.67 ,Successful,3/19/2014,,SBS-5643Q,,,3608925597,"$3,000 ",$0.00 ,$22.33 ,Enterprise,0
Poster Board,81133,SCHOOL BOARD WAREHOUSE,3/18/2014,$41.00 ,$0.94 ,0.23,$9.43 ,$9.43 ,Successful,3/19/2014,,SBS-5643R,,,3608925611,"$3,000 ",$0.00 ,$31.57 ,Enterprise,0
DeWalt Miter Saw Stand,81136,HEALTH,3/19/2014,$74.00 ,$1.70 ,0.23,$17.02 ,$17.02 ,Successful,3/19/2014,,77899,,,3608956207,"$3,000 ",$0.00 ,$56.98 ,General Fund,0
Computer Table,81137,METRO ACTION,3/19/2014,$16.01 ,$0.37 ,0.23,$3.68 ,$3.68 ,Successful,3/19/2014,,MAC-74123,,,3608956798,"$3,000 ",$0.00 ,$12.32 ,Enterprise,0
31 Safe Guard Child Restraints,81138,METRO ACTION,3/19/2014,$3.50 ,$0.08 ,0.23,$0.80 ,$0.80 ,Successful,3/20/2014,,MAC-74030,,,3609070200,"$3,000 ",$0.00 ,$2.69 ,Enterprise,0
Weight Machine,81139,SURPLUS WAREHOUSE,3/19/2014,$4.00 ,$0.09 ,0.23,$0.92 ,$0.92 ,Successful,3/19/2014,,78478,,,3608984252,"$3,000 ",$0.00 ,$3.08 ,General Fund,0
Picture Frame,81140,SURPLUS WAREHOUSE,3/19/2014,$3.00 ,$0.07 ,0.23,$0.69 ,$0.69 ,Successful,3/19/2014,,78479,,,3608963180,"$3,000 ",$0.00 ,$2.31 ,General Fund,0
Computer Desk,81141,COMMUNITY EDUCATION,3/19/2014,$1.00 ,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,3/19/2014,,76315,,,3608956815,"$3,000 ",$0.00 ,$0.77 ,General Fund,0
"Dell 19"" Flat Screen Monitor",81150,ECD COMMUNICATIONS,3/19/2014,$12.00 ,$0.00 ,0.23,$2.76 ,$2.76 ,Successful,4/1/2014,,ECD-76078,,,Cashiers Check,"$3,000 ",$0.00 ,$9.24 ,Enterprise,0
"Dell 19"" Flat Screen Monitor",81151,ECD COMMUNICATIONS,3/19/2014,$13.00 ,$0.00 ,0.23,$2.99 ,$2.99 ,Successful,4/1/2014,,ECD-76085,,,Cashiers Check,"$3,000 ",$0.00 ,$10.01 ,Enterprise,0
"Dell 19"" Flat Screen Monitor",81152,ECD COMMUNICATIONS,3/19/2014,$16.01 ,$0.00 ,0.23,$3.68 ,$3.68 ,Successful,4/1/2014,,ECD-76082,,,Cashiers Check,"$3,000 ",$0.00 ,$12.32 ,Enterprise,0
"Dell 19"" Flat Screen Monitor",81153,ECD COMMUNICATIONS,3/19/2014,$12.00 ,$0.28 ,0.23,$2.76 ,$2.76 ,Successful,3/19/2014,,ECD-76089,,,3608951258,"$3,000 ",$0.00 ,$9.24 ,Enterprise,0
"Dell 19"" Flat Screen Monitor",81154,ECD COMMUNICATIONS,3/19/2014,$28.51 ,$0.66 ,0.23,$6.55 ,$6.55 ,Successful,3/24/2014,,ECD-76087,,,3609412377,"$3,000 ",$0.00 ,$21.95 ,Enterprise,0
"Dell 19"" Flat Screen Monitor",81155,ECD COMMUNICATIONS,3/19/2014,$13.69 ,$0.31 ,0.23,$3.14 ,$3.14 ,Successful,3/24/2014,,ECD-76079,,,3609349594,"$3,000 ",$0.00 ,$10.54 ,Enterprise,0
Nike Cleats,81156,SCHOOL BOARD WAREHOUSE,3/18/2014,$7.00 ,$0.16 ,0.23,$1.61 ,$1.61 ,Successful,3/19/2014,,SBS-6301D,,,3608932582,"$3,000 ",$0.00 ,$5.39 ,Enterprise,0
Nike Cleats,81157,SCHOOL BOARD WAREHOUSE,3/18/2014,$8.00 ,$0.18 ,0.23,$1.84 ,$1.84 ,Successful,3/27/2014,,SBS-6301E,,,3609651049,"$3,000 ",$0.00 ,$6.16 ,Enterprise,0
Nike Cleats,81158,SCHOOL BOARD WAREHOUSE,3/18/2014,$21.00 ,$0.48 ,0.23,$4.83 ,$4.83 ,Successful,3/24/2014,,SBS-6301F,,,3609346773,"$3,000 ",$0.00 ,$16.17 ,Enterprise,0
Washer & Dryer,81179,SCHOOL BOARD WAREHOUSE,3/20/2014,$38.69 ,$0.89 ,0.23,$8.89 ,$8.89 ,Successful,3/24/2014,,SBS-6220,,,3609312516,"$3,000 ",$0.00 ,$29.79 ,Enterprise,0
Table w/4 Chairs,81180,WATER SERVICES,3/20/2014,$29.80 ,$0.69 ,0.23,$6.85 ,$6.85 ,Successful,3/31/2014,,"WS-74763, WS-74758, WS-74762, WS-74748, WS-74749",,,3609944218,"$3,000 ",$0.00 ,$22.94 ,Enterprise,0
Frigidaire Freezer,81181,TENNESSEE STATE FAIR,3/20/2014,$47.00 ,$1.08 ,0.23,$10.81 ,$10.81 ,Successful,4/15/2014,,SF-76759,,,3611415757,"$3,000 ",$0.00 ,$36.19 ,Enterprise,0
20 Dell Computers,81183,WATER SERVICES,3/20/2014,$343.00 ,$7.89 ,0.23,$78.89 ,$78.89 ,Successful,3/24/2014,,"WS-78008, WS-78013, WS-78012, WS-77995, WS-77994, WS-78003, WS-77998, WS-78002, WS-78004, WS-77996, WS-77999, WS-78011, WS-78007, WS-78010, WS-78016, WS-78023, WS-78018, WS-78019, WS-78020, WS-78021",,,3609349617,"$3,000 ",$0.00 ,$264.11 ,Enterprise,0
13 Dell Computers,81184,WATER SERVICES,3/20/2014,$180.00 ,$4.14 ,0.23,$41.40 ,$41.40 ,Successful,3/20/2014,,"WS-77993, WS-78017, WS-78006, WS-78022, WS-78025, WS-78024, WS-78000, WS-78014, WS-78009, WS-78015, WS-78005, WS-77997, WS-78001",,,3609046420,"$3,000 ",$0.00 ,$138.60 ,Enterprise,0
Dell Laptop,81185,WATER SERVICES,3/20/2014,$85.00 ,$1.96 ,0.23,$19.55 ,$19.55 ,Successful,3/24/2014,,WS-77987,,,3609373098,"$3,000 ",$0.00 ,$65.45 ,Enterprise,0
Dell Laptop,81186,WATER SERVICES,3/20/2014,$52.00 ,$1.20 ,0.23,$11.96 ,$11.96 ,Successful,3/27/2014,,WS-77985,,,3609664704,"$3,000 ",$0.00 ,$40.04 ,Enterprise,0
Dell Laptop,81187,WATER SERVICES,3/20/2014,$79.07 ,$1.82 ,0.23,$18.18 ,$18.18 ,Successful,3/24/2014,,WS-77983,,,3609373120,"$3,000 ",$0.00 ,$60.88 ,Enterprise,0
Dell Laptop,81188,WATER SERVICES,3/20/2014,$64.08 ,$1.47 ,0.23,$14.73 ,$14.73 ,Successful,3/20/2014,,WS-77989,,,3609082866,"$3,000 ",$0.00 ,$49.34 ,Enterprise,0
Dell Laptop,81189,WATER SERVICES,3/20/2014,$68.00 ,$1.56 ,0.23,$15.64 ,$15.64 ,Successful,3/31/2014,,WS-77991,,,3610024744,"$3,000 ",$0.00 ,$52.36 ,Enterprise,0
Dell Laptop,81190,WATER SERVICES,3/20/2014,$47.00 ,$1.08 ,0.23,$10.81 ,$10.81 ,Successful,3/25/2014,,WS-77990,,,3609514040,"$3,000 ",$0.00 ,$36.19 ,Enterprise,0
Dell Server,81191,ITS,3/20/2014,$23.00 ,$0.53 ,0.23,$5.29 ,$5.29 ,Successful,3/20/2014,,78159,,,3609070514,"$3,000 ",$0.00 ,$17.71 ,General Fund,0
Dell Server,81192,ITS,3/20/2014,$49.69 ,$1.14 ,0.23,$11.42 ,$11.42 ,Successful,3/20/2014,,78158,,,3609070550,"$3,000 ",$0.00 ,$38.26 ,General Fund,0
3 Satellite Coffee Servers,81193,TENNESSEE STATE FAIR,3/20/2014,$22.56 ,$0.52 ,0.23,$5.18 ,$5.18 ,Successful,3/20/2014,,"SF-76512, SF-76513, SF-76528",,,3609083926,"$3,000 ",$0.00 ,$17.37 ,Enterprise,0
2 Satellite Coffee Servers,81194,TENNESSEE STATE FAIR,3/20/2014,$16.00 ,$0.37 ,0.23,$3.68 ,$3.68 ,Successful,3/26/2014,,"SF-76511, SF-76527",,,3609557954,"$3,000 ",$0.00 ,$12.32 ,Enterprise,0
4 Cash Drawers,81195,TENNESSEE STATE FAIR,3/20/2014,$8.80 ,$0.20 ,0.23,$2.02 ,$2.02 ,Successful,3/20/2014,,SF-76508,,,3609077933,"$3,000 ",$0.00 ,$6.77 ,Enterprise,0
Coffee Hot Plate,81196,TENNESSEE STATE FAIR,3/20/2014,$13.55 ,$0.31 ,0.23,$3.11 ,$3.11 ,Successful,3/20/2014,,SF-76525,,,3609084000,"$3,000 ",$0.00 ,$10.43 ,Enterprise,0
Magic Chef Microwave,81197,TENNESSEE STATE FAIR,3/20/2014,$6.00 ,$0.00 ,0.23,$1.38 ,$1.38 ,Successful,3/27/2014,,SF-76515,,,Money Order,"$3,000 ",$0.00 ,$4.62 ,Enterprise,0
Coffee Machine,81198,TENNESSEE STATE FAIR,3/20/2014,$101.00 ,$2.32 ,0.23,$23.23 ,$23.23 ,Successful,3/20/2014,,SF-76521,,,3609059049,"$3,000 ",$0.00 ,$77.77 ,Enterprise,0
Coffee Machine,81199,TENNESSEE STATE FAIR,3/20/2014,$101.00 ,$2.32 ,0.23,$23.23 ,$23.23 ,Successful,3/21/2014,,SF-76522,,,3609134214,"$3,000 ",$0.00 ,$77.77 ,Enterprise,0
Coffee Machine,81200,TENNESSEE STATE FAIR,3/20/2014,$47.55 ,$1.09 ,0.23,$10.93 ,$10.93 ,Successful,4/10/2014,,SF-76524,,,3611030108,"$3,000 ",$0.00 ,$36.61 ,Enterprise,0
Cash Register,81201,TENNESSEE STATE FAIR,3/20/2014,$21.00 ,$0.48 ,0.23,$4.83 ,$4.83 ,Successful,3/20/2014,,SF-76495,,,3609070577,"$3,000 ",$0.00 ,$16.17 ,Enterprise,0
Nike Cleats,81202,SCHOOL BOARD WAREHOUSE,3/20/2014,$17.00 ,$0.39 ,0.23,$3.91 ,$3.91 ,Successful,4/15/2014,,SBS-6301G,,,3611432159,"$3,000 ",$0.00 ,$13.09 ,Enterprise,0
Nike Cleats,81203,SCHOOL BOARD WAREHOUSE,3/20/2014,$17.00 ,$0.39 ,0.23,$3.91 ,$3.91 ,Successful,4/15/2014,,SBS-6301H,,,3611432184,"$3,000 ",$0.00 ,$13.09 ,Enterprise,0
Nike Cleats,81204,SCHOOL BOARD WAREHOUSE,3/20/2014,$17.00 ,$0.39 ,0.23,$3.91 ,$3.91 ,Successful,4/15/2014,,SBS-6301I,,,3611432209,"$3,000 ",$0.00 ,$13.09 ,Enterprise,0
Reebok Cleats,81205,SCHOOL BOARD WAREHOUSE,3/20/2014,$14.07 ,$0.32 ,0.23,$3.23 ,$3.23 ,Successful,4/2/2014,,SBS-6301J,,,3610194383,"$3,000 ",$0.00 ,$10.83 ,Enterprise,0
Beverage-Air Milk Cooler,81206,SCHOOL BOARD WAREHOUSE,3/20/2014,$44.00 ,$1.01 ,0.23,$10.12 ,$10.12 ,Successful,3/25/2014,,SBS-6306,,,3609464089,"$3,000 ",$0.00 ,$33.88 ,Enterprise,0
Poster Board,81207,SCHOOL BOARD WAREHOUSE,3/20/2014,$89.00 ,$0.00 ,0.23,$20.47 ,$20.47 ,Successful,3/20/2014,,SBS-5643S,,,3609083209,"$3,000 ",$0.00 ,$68.53 ,Enterprise,0
Poster Board,81208,SCHOOL BOARD WAREHOUSE,3/20/2014,$100.56 ,$2.31 ,0.23,$23.12 ,$23.12 ,Successful,3/25/2014,,SBS-5643T,,,3609511565,"$3,000 ",$0.00 ,$77.43 ,Enterprise,0
Dell Laptop,81209,ITS,3/24/2014,$127.01 ,$2.92 ,0.23,$29.21 ,$29.21 ,Successful,3/24/2014,,77445,,,3609342817,"$3,000 ",$0.00 ,$97.79 ,General Fund,0
Dell Laptop,81212,ITS,3/24/2014,$117.00 ,$2.69 ,0.23,$26.91 ,$26.91 ,Successful,4/1/2014,,77450,,,3610137274,"$3,000 ",$0.00 ,$90.09 ,General Fund,0
Dell Laptop,81213,ITS,3/24/2014,$120.00 ,$2.76 ,0.23,$27.60 ,$27.60 ,Successful,4/7/2014,,77453,,,3610602293,"$3,000 ",$0.00 ,$92.40 ,General Fund,0
Dell Laptop,81214,ITS,3/24/2014,$120.10 ,$0.00 ,0.23,$27.62 ,$27.62 ,Successful,4/1/2014,,77456,,,Cashiers Check,"$3,000 ",$0.00 ,$92.47 ,General Fund,0
Dell Laptop,81215,ITS,3/24/2014,$120.00 ,$0.00 ,0.23,$27.60 ,$27.60 ,Successful,4/1/2014,,77464,,,Cashiers Check,"$3,000 ",$0.00 ,$92.40 ,General Fund,0
Dell Laptop,81216,ITS,3/24/2014,$120.11 ,$2.76 ,0.23,$27.62 ,$27.62 ,Successful,3/24/2014,,77454,,,3609372023,"$3,000 ",$0.00 ,$92.48 ,General Fund,0
Dell Laptop,81217,ITS,3/24/2014,$125.00 ,$2.88 ,0.23,$28.75 ,$28.75 ,Successful,4/7/2014,,77452,,,3610602296,"$3,000 ",$0.00 ,$96.25 ,General Fund,0
Dell Laptop,81218,ITS,3/24/2014,$175.00 ,$4.02 ,0.23,$40.25 ,$40.25 ,Successful,3/24/2014,,77471,,,3609343716,"$3,000 ",$0.00 ,$134.75 ,General Fund,0
Dell Computer,81219,ITS,3/24/2014,$50.50 ,$0.00 ,0.23,$11.61 ,$11.61 ,Successful,4/1/2014,,77433,,,Cashiers Check,"$3,000 ",$0.00 ,$38.88 ,General Fund,0
Dell Computer,81220,ITS,3/24/2014,$60.01 ,$1.38 ,0.23,$13.80 ,$13.80 ,Successful,3/24/2014,,77423,,,3609372056,"$3,000 ",$0.00 ,$46.20 ,General Fund,0
Dell Computer,81221,ITS,3/24/2014,$60.00 ,$0.00 ,0.23,$13.80 ,$13.80 ,Successful,4/1/2014,,77427,,,Cashiers Check,"$3,000 ",$0.00 ,$46.20 ,General Fund,0
Dell Computer,81222,ITS,3/24/2014,$54.05 ,$0.00 ,0.23,$12.43 ,$12.43 ,Successful,4/1/2014,,77437,,,Cashiers Check,"$3,000 ",$0.00 ,$41.61 ,General Fund,0
Dell Computer,81223,ITS,3/24/2014,$54.10 ,$0.00 ,0.23,$12.44 ,$12.44 ,Successful,4/1/2014,,77416,,,Cashiers Check,"$3,000 ",$0.00 ,$41.65 ,General Fund,0
Dell Computer,81224,ITS,3/24/2014,$62.00 ,$1.43 ,0.23,$14.26 ,$14.26 ,Successful,3/25/2014,,77419,,,3609479273,"$3,000 ",$0.00 ,$47.74 ,General Fund,0
Dell Computer,81225,ITS,3/24/2014,$62.00 ,$1.43 ,0.23,$14.26 ,$14.26 ,Successful,3/25/2014,,77413,,,3609479289,"$3,000 ",$0.00 ,$47.74 ,General Fund,0
Dell Computer,81226,ITS,3/24/2014,$62.00 ,$1.43 ,0.23,$14.26 ,$14.26 ,Successful,3/25/2014,,77428,,,3609479329,"$3,000 ",$0.00 ,$47.74 ,General Fund,0
Dell Computer,81227,ITS,3/24/2014,$62.00 ,$1.43 ,0.23,$14.26 ,$14.26 ,Successful,3/25/2014,,77420,,,3609479360,"$3,000 ",$0.00 ,$47.74 ,General Fund,0
Dell Computer,81228,ITS,3/24/2014,$60.00 ,$0.00 ,0.23,$13.80 ,$13.80 ,Successful,4/1/2014,,77435,,,Cashiers Check,"$3,000 ",$0.00 ,$46.20 ,General Fund,0
Dell Computer,81229,ITS,3/25/2014,$53.00 ,$1.22 ,0.23,$12.19 ,$12.19 ,Successful,3/25/2014,,77414,,,3609476756,"$3,000 ",$0.00 ,$40.81 ,General Fund,0
Dell Computer,81230,ITS,3/25/2014,$41.00 ,$0.00 ,0.23,$9.43 ,$9.43 ,Successful,4/1/2014,,77415,,,Cashiers Check,"$3,000 ",$0.00 ,$31.57 ,General Fund,0
Dell Computer,81231,ITS,3/25/2014,$49.75 ,$1.14 ,0.23,$11.44 ,$11.44 ,Successful,3/27/2014,,77421,,,3609635319,"$3,000 ",$0.00 ,$38.30 ,General Fund,0
Dell Computer,81232,ITS,3/25/2014,$47.51 ,$1.09 ,0.23,$10.92 ,$10.92 ,Successful,3/27/2014,,77434,,,3609635346,"$3,000 ",$0.00 ,$36.58 ,General Fund,0
Dell Computer,81233,ITS,3/25/2014,$47.51 ,$1.09 ,0.23,$10.92 ,$10.92 ,Successful,3/25/2014,,77430,,,3609501097,"$3,000 ",$0.00 ,$36.58 ,General Fund,0
Dell Computer,81234,ITS,3/25/2014,$39.02 ,$0.90 ,0.23,$8.97 ,$8.97 ,Successful,3/27/2014,,77422,,,3609635365,"$3,000 ",$0.00 ,$30.04 ,General Fund,0
